NO_OF_FRAMES	2000
NO_OF_CAMERAS	10
NO_OF_MARKERS	16
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2026-01-19, 10:24:53.089	2063941.29639670
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0001	New 0002	New 0003	New 0004	New 0005	New 0006	New 0007	New 0008	New 0009	New 0010	New 0011	New 0012	New 0013	New 0014	New 0015
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	New 0000 X	New 0000 Y	New 0000 Z	New 0001 X	New 0001 Y	New 0001 Z	New 0002 X	New 0002 Y	New 0002 Z	New 0003 X	New 0003 Y	New 0003 Z	New 0004 X	New 0004 Y	New 0004 Z	New 0005 X	New 0005 Y	New 0005 Z	New 0006 X	New 0006 Y	New 0006 Z	New 0007 X	New 0007 Y	New 0007 Z	New 0008 X	New 0008 Y	New 0008 Z	New 0009 X	New 0009 Y	New 0009 Z	New 0010 X	New 0010 Y	New 0010 Z	New 0011 X	New 0011 Y	New 0011 Z	New 0012 X	New 0012 Y	New 0012 Z	New 0013 X	New 0013 Y	New 0013 Z	New 0014 X	New 0014 Y	New 0014 Z	New 0015 X	New 0015 Y	New 0015 Z	
22	0.21000	521.735	-17.461	1455.109	829.793	223.789	22.529	746.688	150.113	527.119	909.683	155.798	55.245	905.908	-210.270	61.172	1262.942	-1.965	1467.399	638.656	120.631	79.665	679.219	-193.634	965.466	624.352	133.262	1505.548	623.868	-169.391	1489.141	641.869	-154.507	78.027	821.113	-272.441	23.990	688.699	-216.283	96.827	691.954	173.179	99.414	723.252	-184.971	521.313	670.623	172.120	981.799
23	0.22000	521.651	-17.434	1455.083	829.794	223.784	22.549	746.647	150.125	527.111	909.689	155.802	55.249	905.914	-210.259	61.157	1262.837	-1.972	1467.417	638.661	120.633	79.663	679.161	-193.626	965.416	624.306	133.251	1505.581	623.800	-169.376	1489.107	641.894	-154.519	78.046	821.190	-272.490	24.052	688.693	-216.316	96.901	691.967	173.188	99.409	723.202	-184.917	521.300	670.593	172.153	981.806
24	0.23000	521.593	-17.414	1455.062	829.796	223.787	22.545	746.602	150.122	527.118	909.692	155.801	55.262	905.922	-210.258	61.161	1262.723	-1.962	1467.472	638.646	120.635	79.637	679.131	-193.633	965.465	624.202	133.262	1505.503	623.707	-169.374	1489.088	641.866	-154.503	77.991	821.147	-272.389	24.012	688.699	-216.346	96.897	691.944	173.184	99.411	723.207	-184.690	521.107	670.541	172.143	981.763
25	0.24000	521.520	-17.403	1455.046	829.793	223.794	22.548	746.582	150.152	527.136	909.697	155.818	55.269	905.913	-210.257	61.187	1262.612	-1.971	1467.539	638.672	120.611	79.640	679.098	-193.622	965.431	624.105	133.273	1505.426	623.627	-169.368	1489.061	641.896	-154.513	78.046	821.171	-272.487	24.071	688.716	-216.366	96.889	691.939	173.189	99.390	723.195	-184.953	521.293	670.514	172.128	981.751
26	0.25000	521.439	-17.392	1455.017	829.805	223.800	22.560	746.565	150.171	527.162	909.696	155.814	55.265	905.918	-210.264	61.196	1262.448	-1.969	1467.575	638.659	120.613	79.638	679.059	-193.641	965.453	623.996	133.306	1505.403	623.551	-169.370	1489.030	641.875	-154.508	78.029	821.126	-272.475	24.028	688.715	-216.336	96.878	691.941	173.173	99.374	723.156	-184.807	521.209	670.476	172.120	981.745
27	0.26000	521.335	-17.426	1455.015	829.793	223.775	22.523	746.536	150.135	527.113	909.696	155.796	55.266	905.917	-210.247	61.201	1262.330	-1.976	1467.658	638.655	120.617	79.644	679.039	-193.621	965.459	623.879	133.307	1505.376	623.444	-169.378	1489.000	641.875	-154.524	78.025	821.156	-272.430	24.067	688.710	-216.322	96.889	691.936	173.198	99.397	723.129	-184.829	521.203	670.449	172.116	981.723
28	0.27000	521.251	-17.429	1454.977	829.792	223.782	22.551	746.542	150.129	527.150	909.697	155.804	55.265	905.904	-210.246	61.206	1262.200	-1.967	1467.687	638.678	120.631	79.650	679.037	-193.614	965.450	623.763	133.291	1505.369	623.369	-169.370	1488.993	641.867	-154.504	78.015	821.179	-272.467	24.100	688.692	-216.345	96.881	691.934	173.177	99.396	723.107	-184.950	521.293	670.440	172.118	981.718
29	0.28000	521.153	-17.431	1454.931	829.802	223.798	22.556	746.533	150.142	527.152	909.696	155.798	55.255	905.910	-210.245	61.215	1262.053	-1.969	1467.711	638.666	120.623	79.640	678.995	-193.618	965.449	623.654	133.306	1505.350	623.270	-169.389	1488.976	641.880	-154.486	78.006	821.146	-272.443	24.085	688.684	-216.326	96.871	691.934	173.176	99.389	723.100	-184.923	521.313	670.437	172.158	981.751
30	0.29000	521.041	-17.434	1454.920	829.798	223.789	22.535	746.540	150.161	527.151	909.706	155.802	55.308	905.926	-210.253	61.217	1261.971	-1.968	1467.789	638.656	120.623	79.656	678.947	-193.631	965.446	623.527	133.293	1505.297	623.165	-169.385	1489.019	641.897	-154.520	78.043	821.170	-272.451	24.089	688.694	-216.325	96.907	691.946	173.169	99.387	723.065	-184.878	521.263	670.433	172.159	981.750
31	0.30000	520.944	-17.409	1454.865	829.801	223.794	22.551	746.543	150.199	527.170	909.707	155.797	55.300	905.930	-210.246	61.214	1262.131	-2.281	1467.205	638.643	120.638	79.629	678.923	-193.637	965.417	623.441	133.310	1505.254	623.043	-169.365	1488.994	641.897	-154.479	78.016	821.167	-272.456	24.071	688.706	-216.309	96.900	691.952	173.168	99.377	723.075	-184.907	521.291	670.408	172.158	981.756
32	0.31000	520.829	-17.384	1454.854	829.807	223.797	22.557	746.555	150.133	527.104	909.714	155.789	55.284	905.923	-210.239	61.201	1262.018	-2.287	1467.280	638.649	120.636	79.641	678.893	-193.642	965.407	623.314	133.332	1505.168	622.917	-169.361	1488.977	641.919	-154.498	78.038	821.192	-272.442	24.036	688.710	-216.335	96.911	691.951	173.175	99.358	723.049	-184.799	521.216	670.380	172.168	981.754
