NO_OF_FRAMES	2000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2026-01-20, 10:34:28
DATA_INCLUDED	Angle
DATA_TYPES	left_q1_YZ	left_q1_XZ	left_q1_XY

Frame	Time	left_q1_YZ	left_q1_XZ	left_q1_XY	
252	2.51000	15.892	7.377	72.396
253	2.52000	15.986	7.353	72.321
254	2.53000	16.082	7.334	72.241
255	2.54000	16.193	7.302	72.153
256	2.55000	16.299	7.279	72.066
257	2.56000	16.406	7.238	71.984
258	2.57000	16.520	7.148	71.918
259	2.58000	16.620	7.104	71.843
260	2.59000	16.739	7.046	71.757
261	2.60000	16.849	6.986	71.680
262	2.61000	16.954	6.916	71.610
263	2.62000	17.042	6.841	71.557
264	2.63000	17.207	6.765	71.433
265	2.64000	17.249	6.626	71.447
266	2.65000	17.349	6.576	71.372
267	2.66000	17.452	6.538	71.289
268	2.67000	17.579	6.494	71.185
269	2.68000	17.752	6.448	71.039
270	2.69000	17.936	6.416	70.877
271	2.70000	18.157	6.388	70.677
272	2.71000	18.404	6.379	70.446
273	2.72000	18.674	6.404	70.181
274	2.73000	18.961	6.433	69.898
275	2.74000	19.246	6.477	69.610
276	2.75000	19.533	6.513	69.325
277	2.76000	19.817	6.563	69.037
278	2.77000	20.087	6.595	68.768
279	2.78000	20.341	6.624	68.516
280	2.79000	20.604	6.639	68.259
281	2.80000	20.862	6.627	68.015
282	2.81000	21.112	6.599	67.785
283	2.82000	21.360	6.550	67.563
284	2.83000	21.600	6.476	67.355
285	2.84000	21.825	6.399	67.162
286	2.85000	22.041	6.302	66.984
287	2.86000	22.233	6.185	66.833
288	2.87000	22.398	6.064	66.709
289	2.88000	22.537	5.928	66.613
290	2.89000	22.653	5.777	66.541
291	2.90000	22.737	5.625	66.500
292	2.91000	22.807	5.472	66.473
293	2.92000	22.858	5.298	66.467
294	2.93000	22.882	5.137	66.483
295	2.94000	22.877	4.953	66.533
296	2.95000	22.842	4.785	66.606
297	2.96000	22.794	4.603	66.694
298	2.97000	22.735	4.436	66.788
299	2.98000	22.658	4.282	66.896
300	2.99000	22.569	4.130	67.015
301	3.00000	22.455	3.970	67.159
302	3.01000	22.311	3.813	67.330
303	3.02000	22.153	3.663	67.514
304	3.03000	21.966	3.531	67.722
305	3.04000	21.756	3.416	67.950
306	3.05000	21.526	3.267	68.202
307	3.06000	21.299	3.111	68.453
308	3.07000	21.050	2.954	68.724
309	3.08000	20.795	2.779	69.003
310	3.09000	20.518	2.594	69.304
311	3.10000	20.216	2.400	69.629
312	3.11000	19.909	2.197	69.960
313	3.12000	19.589	1.979	70.303
314	3.13000	19.252	1.762	70.661
315	3.14000	18.906	1.526	71.028
316	3.15000	18.548	1.282	71.404
317	3.16000	18.183	1.023	71.786
318	3.17000	17.803	0.761	72.180
319	3.18000	17.412	0.505	72.580
320	3.19000	16.995	0.264	73.003
321	3.20000	16.566	0.013	73.434
322	3.21000	16.111	-0.230	73.887
323	3.22000	15.643	-0.451	74.350
324	3.23000	15.138	-0.677	74.846
325	3.24000	14.613	-0.885	75.359
326	3.25000	14.079	-1.101	75.876
327	3.26000	13.524	-1.298	76.412
328	3.27000	12.945	-1.507	76.965
329	3.28000	12.349	-1.740	77.526
330	3.29000	11.723	-1.976	78.107
331	3.30000	11.081	-2.218	78.693
332	3.31000	10.407	-2.472	79.297
333	3.32000	9.722	-2.721	79.898
334	3.33000	9.019	-2.959	80.501
335	3.34000	8.308	-3.149	81.107
336	3.35000	7.571	-3.436	81.677
337	3.36000	6.920	-3.544	82.218
338	3.37000	6.304	-3.571	82.748
339	3.38000	5.747	-3.566	83.230
340	3.39000	5.261	-3.542	83.652
341	3.40000	4.854	-3.516	84.001
342	3.41000	4.528	-3.497	84.275
343	3.42000	4.272	-3.466	84.494
344	3.43000	4.096	-3.443	84.645
345	3.44000	4.016	-3.422	84.720
346	3.45000	4.020	-3.410	84.725
347	3.46000	4.103	-3.414	84.658
348	3.47000	4.256	-3.442	84.522
349	3.48000	4.447	-3.485	84.346
350	3.49000	4.646	-3.525	84.164
351	3.50000	4.848	-3.562	83.979
352	3.51000	5.046	-3.595	83.799
353	3.52000	5.236	-3.624	83.626
354	3.53000	5.422	-3.645	83.461
355	3.54000	5.594	-3.676	83.300
356	3.55000	5.751	-3.699	83.156
357	3.56000	5.880	-3.724	83.033
358	3.57000	5.964	-3.747	82.950
359	3.58000	6.026	-3.770	82.885
360	3.59000	6.048	-3.788	82.856
361	3.60000	6.055	-3.806	82.840
362	3.61000	6.048	-3.822	82.838
363	3.62000	6.033	-3.841	82.840
364	3.63000	6.019	-3.854	82.845
365	3.64000	6.013	-3.856	82.849
366	3.65000	6.014	-3.861	82.846
367	3.66000	6.029	-3.869	82.828
368	3.67000	6.050	-3.874	82.808
369	3.68000	6.076	-3.876	82.785
370	3.69000	6.110	-3.873	82.758
371	3.70000	6.141	-3.875	82.731
372	3.71000	6.169	-3.869	82.710
373	3.72000	6.202	-3.869	82.682
374	3.73000	6.234	-3.869	82.655
375	3.74000	6.250	-3.863	82.645
376	3.75000	6.256	-3.857	82.643
377	3.76000	6.259	-3.854	82.642
378	3.77000	6.250	-3.846	82.653
379	3.78000	6.243	-3.840	82.662
380	3.79000	6.220	-3.830	82.688
381	3.80000	6.194	-3.814	82.718
382	3.81000	6.157	-3.797	82.758
383	3.82000	6.120	-3.790	82.794
384	3.83000	6.087	-3.776	82.829
385	3.84000	6.057	-3.762	82.863
386	3.85000	6.043	-3.753	82.879
387	3.86000	6.042	-3.743	82.885
388	3.87000	6.055	-3.742	82.874
389	3.88000	6.083	-3.740	82.852
390	3.89000	6.113	-3.737	82.827
391	3.90000	6.155	-3.728	82.797
392	3.91000	6.199	-3.717	82.764
393	3.92000	6.257	-3.717	82.714
394	3.93000	6.326	-3.715	82.656
395	3.94000	6.412	-3.712	82.583
396	3.95000	6.512	-3.718	82.493
397	3.96000	6.622	-3.719	82.397
398	3.97000	6.751	-3.721	82.284
399	3.98000	6.883	-3.723	82.166
400	3.99000	7.028	-3.720	82.040
